Country,Outside_prison,Inside_prison,Difference
Albania,4.927489086,175.1180962,170.1906072
Algeria,3.611027826,150.9765138,147.3654859
Andorra,7.142658828,63.51593083,56.373272
Antigua and Barbuda,2.769951618,536.4773722,533.7074206
Argentina,10.41185243,226.9528094,216.540957
Armenia,7.928105667,75.09142152,67.16331586
Australia,10.38888055,174.5175216,164.128641
Austria,11.26561808,101.3053109,90.03969281
Azerbaijan,3.555766378,208.72399,205.1682236
Bahamas,2.828738188,408.2303343,405.4015961
Bangladesh,4.696879024,54.10185249,49.40497346
Barbados,3.911838108,304.5073357,300.5954976
Belgium,14.95502085,91.50447782,76.54945697
Belize,7.356939267,529.2672492,521.91031
Benin,10.87259575,72.04382013,61.17122439
Bermuda,3.151250325,279.9641646,276.8129143
Bhutan,5.865627201,256.0628179,250.1971907
Bolivia,6.834038842,158.1502535,151.3162147
Bosnia and Herzegovina,8.355047785,135.7771195,127.4220717
Brazil,5.681944215,357.8657765,352.1838323
Bulgaria,10.79324231,92.11274612,81.31950381
Canada,11.01104929,103.1519093,92.14086005
Chile,9.760797092,244.0793297,234.3185326
China,6.804010204,350.5767681,343.7727579
Colombia,5.345701284,245.9343859,240.5886846
Comoros,7.287806722,26.44286989,19.15506316
Costa Rica,7.545571481,329.248126,321.7025545
Cote d'Ivoire,13.19486721,73.88237164,60.68750443
Croatia,11.07674349,85.53860144,74.46185795
Cyprus,4.218740542,63.32525151,59.10651096
Czechia,10.61502327,196.9087902,186.2937669
Denmark,8.447870818,67.91551518,59.46764436
Dominica,4.90554355,721.3680927,716.4625491
Dominican Republic,6.329608779,253.4138092,247.0842004
Ecuador,9.406797037,229.0076292,219.6008322
Estonia,12.17677064,187.6062216,175.4294509
Finland,12.99713266,53.2341894,40.23705674
France,12.48851282,186.4357614,173.9472486
Georgia,6.998107366,243.6972729,236.6991656
Germany,9.507900179,75.60851709,66.10061691
Greece,3.497055464,103.9867276,100.4896721
Grenada,4.589452828,388.3859217,383.7964689
Guatemala,5.495840973,150.4026169,144.906776
Guyana,32.62007498,259.9725336,227.3524586
